ID,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
NUP153,90.5,228.7,139.7,196.2,200.7,215.4,179.6,190,211,208.1
PPP2R2A,409.3,510.1,413.4,520,437,543.6,517.3,466.2,475.1,369.2
GAS6,750,670.7,1338.5,819.2,837.2,680.6,983.3,985.3,868.7,1058.8
PRKCB1,125,190,121.7,146.6,58.3,181,178.7,83.5,163.7,154.8
SP4,60.4,25.3,60.4,85.3,59.7,85.3,55.6,54.5,76.7,96.9
RAB4,99,94,146.2,214.5,121,113.4,203.3,134.3,107.2,115.7
TXNRD1,889.4,1013.8,866.7,1061.1,1055.2,1115.1,921.3,820,1122.5,936.9
IL11RA,170.6,115.5,371.7,176,138.4,179,348,245.5,219,186.6
ADSS,185,266.5,159.1,193.6,154.3,243.8,216.3,160.8,214,256.4
LNPEP,47.3,39,43.5,94,79,58.3,79.9,151.5,45,46
NNMT,2988.4,1635.9,3810.2,3742.4,2965.6,2659.3,4185.9,3603.9,5433.2,1783.5
SEC23A,59.3,64,29,57,-2.1,66.8,95.3,88,60.6,40.7
CES2,941.5,788.9,983,770.6,865.1,867,643.9,810.8,841.8,1077.4
DBI,1480.8,1728.5,1448.4,1732.3,1959.2,1959.4,2373.2,1317.9,1937.6,1805.4
ELL,120,179,231,162,217.6,113.4,99.7,89,176.8,224.7
CYP2J2,21,0.8,7,41.6,-5.1,24.3,13.7,69.7,39,13
HSPB2,335.2,231.6,598.3,399.1,274.2,336.5,433.7,445.2,448.8,497
CKN1,7.3,50.2,21.8,17.7,36.7,69.4,73.8,18.5,19.6,34
ACTR1B,229.7,209.4,152.6,188,215.8,222.1,249.8,136.5,204.9,262.1
ADD2,30.3,53.9,55.1,0.4,41,63.7,69.4,102.2,-76.4,15
KCNA6,86,50.2,85,68,72,52,27.2,89,13.4,25.3
LAPTM5,3415.9,3439.7,2213.3,3827.2,4174.3,2791.2,1940.9,2057.7,2025.6,2136
NOL1,348.8,357.2,319.7,375,323.8,322.3,351.4,366.5,306,318.8
GRM1,3,-4.6,4.3,21,-29,-35,-10,32,8.1,-6.8
TNFRSF12,344.4,185,220.4,65,168.3,249.8,129.2,178.3,244.8,144
DCC,37.8,1.5,12,-3,41,7.3,48.5,25.2,11.6,20.3
SOS1,122,166,129.1,299.6,128,141.8,130,260.8,220,131.2
CASP10,102,190,111.6,90,87.1,126.4,144,74.6,99.7,134.7
MUC6,523.9,332.1,534.1,616.3,512.5,408.8,165.5,550.9,744,613.6
ANK3,224.1,204.4,230,170,411.7,287,390.3,135.4,411,648.3
ITGAL,574.6,879,388.3,464.5,437.7,627.9,468.8,421.6,368,485.5
GTF2H2,184,244.9,167.6,218.3,280.6,533,385.1,171.2,242,264
FXR2,392.4,400.3,427,406.8,437.7,344.5,341.6,459.5,437.8,398.1
PAM,1002.7,695.1,911.5,859.9,765,851.6,1263.1,1273.2,1049,1074.4
FAAH,23.1,96,104.2,53.4,108.8,48,66.8,77.2,96.2,106.2
CDK10,423,395.8,400,408.2,354.3,389.7,317,346.1,415.9,288
CD3Z,188,265,65,166,55.3,245.5,88.9,132.2,75.9,195.3
CKMT1,26,8.1,16.7,43.3,-40.6,17.7,-1.8,-38.4,0.3,32
IFNA10,25.3,45.9,3,13.7,1.3,21,6.6,3,-6.8,26
PYY,166,117.2,171.9,144.9,146.8,113.4,80.8,29.4,188.1,52
COX5B,2040.2,2036.3,1631.4,1536.1,1849.3,1804.2,1483.6,1628.1,1577.1,1796.2
GS3686,152.8,161.4,292.1,109.8,215.8,325.9,173.1,282.2,263.2,264
PRKCBP1,513.3,346.3,384.6,206,273.3,197,209.7,214.9,233,395.9
PPARBP,37.8,-48.9,-14.2,-44.3,53.7,14,-23.7,7.7,3.9,-84.3
SLC6A9,103,63,80,33.2,83.5,58.3,70.2,42.4,70.2,55.1
ODC1,1312.4,1138.8,1536.3,1269.1,1460.7,1106.2,1431.7,1188.9,1621.9,1025.5
ECM1,226.3,220.4,300.4,372,158,214.5,334.5,284.7,189.1,354.6
KIAA0125,55.6,52.6,16.7,-3.8,8,-6,-27.8,100.5,21,-0.3
CKAP1,1001.3,951,1139.8,951.4,865.1,1001.4,991.8,910.6,1067.4,1135.9
GMFB,338,323.7,623.8,425,291.4,442.8,597.2,405.4,656.3,526.6
ACRV1,182,65,185.3,92,170.6,61,87.1,162.7,202.8,134.7
CRYGB,-10,13,12,-8.4,-5.8,-14.6,-27.8,-19.2,-2.5,-28.1
GABRA3,108,108,170.8,88,97,89.1,77.2,198.4,180.6,106.2
PSIP1,403.4,320.4,378.7,300.6,288,370.1,422.4,393.4,430.1,300
MHC2TA,148.4,210.2,96,102.4,114.7,185,117.2,156.9,114.4,138.2
GPRK5,828.7,551.6,1259.9,761.7,963.7,794.3,1059.8,886.7,1172.2,1460.9
MGST2,912.2,847.6,957.3,1037.2,938.1,814.5,990.7,862.7,1209.6,1014.4
BET1,171.7,174,127.2,156.2,127,127.6,135.4,136.5,172.9,171
APC,32,28.6,52,78.2,65.9,76.7,71.1,68.9,100.5,59
CHRNB2,127,172.9,55.8,111.6,104.4,75.9,122.8,118,91.6,86
CYP2D7AP,240.8,260.2,197.1,263.3,225,179,210.4,174,118,102.5
DGKD,321.6,188,307.7,317.9,311.9,302,358.2,285.5,273,341.6
MXI1,43,53.9,70.2,47,76.7,85.3,44,16.8,46.8,96.9
HNRPK,1987.4,2337.2,2011.5,2065.5,2167.5,2309.4,2134.4,2185.9,2386.2,2270.7
RPS25,5011.1,3377.2,3386.3,3727.4,3380.5,3696.3,4686.1,3912.4,3762.3,4104
OPN1SW,23.1,-10,35.5,42.4,18.5,36.7,-91.9,55.1,87.1,38
CPB2,73.8,130.9,400,61.6,151.5,114.2,647.6,93,424.4,464.7
TIA1,105,89,65,79.9,37.8,61,130,152.6,45,92.4
PRDX1,3816.2,4528.4,2551.1,3314.4,4359.5,4244.2,4282.3,2956.7,3551.7,3512.5
PPIB,400.8,373.4,454.3,372,350.8,355.9,643.9,482.8,422.3,497.8
DAZL,12.5,7.3,24.3,5.2,-10,-2.1,-6.5,23.5,7.3,29.6
DEK,166,235.4,152.6,171,141.2,315.1,235.5,195.1,184.4,266.8
POLR2E,1181.6,1129.2,803.4,1127.4,1096.5,989.8,1011.8,975.2,741.4,643.2
VASP,490.9,720.5,511.4,848.9,1050.4,700.6,591.6,867.9,523.5,533.6
ADH4,108,120,147.2,106.9,180.4,90.2,83.5,144,140.8,99.8
MYO5A,85,55.1,51,63.9,37.8,16,69.4,24.3,70.2,93.6
MYB,12.5,45,65.9,34.3,53.7,22.7,20.2,26.9,88,13
22098,216,145.1,181.5,101.3,135.6,45,92.5,135.4,103.8,94.7
H2AFM,-6.8,37.8,4.3,-0.4,48,-2.1,3,-3,-7.8,53.9
MYL6,8418.9,10322,7606,12101.8,10399,10370.2,8411.4,11075.2,10740,9210.8
PRL,35.5,90,62.7,51,23.1,29,68.5,-1.7,116.2,18.1
PRSS7,-4.9,-10,41.2,3,16,9,-22.4,-3,8.1,23.9
USP9X,323.4,398.5,408.1,417,464.2,388.3,497.7,408.9,412.4,402.4
ACTN2,23.1,47.6,53.9,11.3,8,12,6.6,12,0.3,51
HSU53209,589.5,459.9,537.1,555.7,588,457.9,608.4,511.9,759.4,518.8
HLA-DQA1,3675.7,1.5,32,3332.4,52,32,17.7,-1,1290,1025.5
BN51T,66.8,97,100.5,62.7,89,98,103.8,128.2,21,24.6
NOTCH4,199,201.2,245,178,212.3,186,300.5,195.9,225,209.2
MET,158,116.3,104.2,113.5,144,144.9,124.4,84.6,134.3,201.6
GTF2F1,447.9,359.5,354.3,460.2,455.6,382.4,321,353.3,373.8,414.8
CYP2D6,148.4,45,30.5,57,83.5,99.7,48.5,90,9.9,103.5
KIAA0112,185,205.2,176.8,207.9,151.5,193.5,179.6,156.9,198.5,221.9
AGPAT1,877.5,646.4,938.6,877.1,682.2,647.9,636.6,739.3,750.8,802
PAX8,849.3,781.8,680,709,626.9,687.2,478.8,708.2,793.5,720.7
BTD,81,190.8,81,145.8,187.9,122.8,189.1,145.1,215,236.9
RAB11A,174,148.3,230,198.9,181.5,231.7,332.9,188.9,269,367
TNP2,-44.7,-33.9,-5.6,19.3,-29,20.2,22,18.5,19.6,-21
GFAP,414.8,435.2,479.7,438.3,496.1,423.6,340.1,441.7,580.3,444
SLC25A11,112.2,151.5,122.6,74.3,115.5,122.8,139.7,180.4,29.8,138.2
LOC55885,96.3,78.1,53.2,60.4,141.2,141.8,158,107.2,138.6,176.5
BRCA1,39,82.4,55.1,39.9,54.5,61,20.2,47,18.9,20.3
NPPB,286.2,182,245,163,183.6,144,183.4,158,249.2,82
HK3,327.9,531.1,325,447,606.6,593.2,271.9,486.2,336.6,337.1
SRPK2,171.7,268.8,207.7,218.3,159.1,206,198.9,234.4,199.6,221.9
ABCD2,66.8,49.4,60.4,-81.8,6,109.5,47.3,68.9,27.5,38
GRB7,127,259.3,324.1,262.5,245.8,324.1,251.5,301,264.1,313
FLT1,106,77.2,154.8,146.6,127,61,54.9,116.2,123,150.5
MKI67,-43.7,-8.4,-29.7,-25.3,-78.6,-42.7,-50.1,7.7,-23.5,-14.2
PCOLN3,615,542.7,641.3,588,534.5,535.9,417.3,590,559.5,419.2
EIF5,312.9,236.3,163.3,244.7,195.3,288,302.9,251.5,235,234.3
PSG9,61.6,75.5,91,19.3,49,120.4,79,63.2,89.8,43.3
SFRS2,79,114.7,74.3,70,79.9,109.5,133.2,94,113.5,93.6
CD7,1034.7,694.2,448.8,515.1,411.7,770.5,298.2,505.8,434.3,503.2
GNB1,981.2,1344.5,1150.8,998.4,951,1109.6,724.8,746,967.9,984.7
PIGC,267.8,205.2,226,206,147.7,188,247.2,235.4,161.4,237.8
CYP1A2,163.7,333.8,210.2,162,113,150.5,195.3,268.3,287,110.3
LOC51036,33.2,-21,-8.2,5.2,7,-13.7,-14.9,-63.6,-16.6,-27.3
IRF7,263.2,199.6,190,255.7,314.4,292.7,242.2,271.6,25.3,138.2
NPY5R,26.9,24.6,21,-6.1,-5.1,10,36.7,0.3,18.9,1
NF1,23.9,14,34.3,3.8,2.1,-49.3,-3,-8.6,48.5,1
ATP5C1,1055.5,1206.2,1325.9,1137.3,1024.7,1182,1501.5,955.9,1337.8,1312.3
C6.1A,45.8,44,71.1,43.3,52.8,21.8,42,15,61.4,24.6
PTK7,223,172.9,208.6,245.5,242,120.4,166.5,111.6,123,200.7
ADPRT,738,765.8,530.3,594.5,569.4,678.9,531.1,645.1,483.8,530.5
MMP9,1785.8,1139.6,140.8,1216.4,251.2,299.2,348.7,208.7,169.4,422.2
RTN1,207,379.8,202.4,242,218.5,346.2,174,154.8,194.3,211.3
KIAA0167,120,155.8,133.2,109.8,126,41.2,69.4,142.9,108.9,68.9
ILVBL,225.2,288,335.6,287.2,345.1,266,230.5,286.4,304,327
GCHFR,320.6,550,465.2,398.4,1161.5,299.2,291.9,379.4,399.5,447
C1QB,3548.3,5693.1,3680,3622.5,3909.4,4296.1,3184.8,2922.2,3116.4,3059.8
USP6,21,74.6,84,77.4,63.7,52,79,68.9,88,45
DSPG3,34.3,30.3,43.5,8.2,23.9,21.8,16.8,13,35,45
HIVEP1,104,111.3,147.2,145.8,122,131.1,118.8,125.4,111.6,206
UBE3A,55.6,69.4,89,72,98.9,58.3,48.5,55.8,90.7,47
KIAA0227,-11,10,13,-7.7,1.3,8.1,-1.8,3,-2.5,28.4
TCF7L2,221,210.2,272.1,188,362.7,234.3,361.6,200.9,337.4,329.8
POLD4,587.8,689.9,550,633.6,622.8,597.2,534.8,602.4,510.7,539.9
PRKAR2B,70.2,60,94,51,39,90.2,101.3,83.5,63.2,53.2
UCHL3,158,166,178.7,235.4,105.3,183,192.7,229.7,199.6,128.2
USP14,435.8,436.5,401.5,396.3,402.1,369.2,378,364.8,330.9,373.6
CACNA1B,413.2,269.6,305.6,265,291.4,302,259.9,332,364.7,212.4
FGFR2,290.1,258.3,267.7,272.4,182.5,259.9,207.5,290,321.9,303
PCBP1,1753.8,1958.5,1784.6,1862.9,1639,1963.5,1724.7,1761,1530.1,2070.9
DDX6,73.8,142.2,88,19.3,84.4,72,36.7,60.6,142.9,23.9
NPIP,54.9,76.4,27.5,56.3,49,76.7,65.9,52,68.5,40.7
CP,81,125,8.3,174,13.7,40.5,11.3,99.7,55.9,120.8
SLC14A1,61.6,23.9,25.2,41.6,12.1,31,48.5,9,-7.3,90.2
PRKCZ,320.6,292.1,299.4,305.4,439.7,273,477,399.1,430.8,478.2
GNA11,364.2,378,531.8,354.8,407.8,368.3,429.9,401.2,581.3,412.5
RENBP,382.2,430.6,381.7,437.7,398.9,538.7,296.6,350.6,355.5,355.3
HTR1F,-8.1,-38.9,5,6.8,-5.8,-41.6,-39.5,6.3,3,18.9
ESR2,218,113.8,195.3,152.8,194.4,151.5,153.6,220.3,34,92.4
GTPBP1,141,140.5,147.2,144,199.8,135.4,126.8,136.5,190,193.6
FRAP1,189,302.5,164.4,219.2,223,255.7,204.2,234.4,193.2,187.5
CSDA,399.2,472,679.1,730.9,691.1,502.7,673.2,582,673,475.1
DMWD,514.1,403.9,674.7,492.6,517.4,402.9,424.9,518.1,520.1,534.4
TIMP3,519,564.9,854.5,527.7,885.1,646.3,733.8,413.4,743.2,1038.8
KCNA1,305.6,193.2,289,201.6,160.3,159,181.5,178.3,187.2,220.9
CREBL1,466.3,469.4,371.7,438.3,383.6,328.5,222.3,515.3,398.6,377.3
FLG,111.3,-58.9,74.3,-94.4,-31,-54.9,-17.3,5,-21.8,55.1
ADORA1,108.8,41,90,6.8,65,65.9,13.7,23.5,-56.8,-17.6
TNK1,16,44,42,36.7,11.3,41.2,78.1,21,26,11
PPIA,5792,5195.6,5077.8,6664.5,5148.9,5882.2,7699.7,5856.6,6273.3,5226.5
PIM1,332.5,521.7,259,496.1,424.3,413.5,603.6,605.1,450.5,216.6
TJP1,902.4,953.3,1647.4,1103.5,1321.4,1088.4,1403.9,1066.4,1544.7,1710.6
GBP1,219,1013.8,133.2,274,179.3,1608.1,348,239.2,288,252.6
KHK,-52.5,-56,-24.9,-48.4,0.4,-73.3,10.2,-49.2,-34.3,9
TST,547.6,626.3,840.5,885.3,1157.9,826.2,865.9,846.5,855.7,1405.4
BRF1,-14,-6.9,-36.9,-29.6,-21,-46,-41.3,30.3,-16.6,-20.2
ACTG2,688.2,518.1,2856.8,709,372.4,1171.1,913.8,939.6,750,329.8
PSMD12,329.8,268.8,328.5,330.7,323.8,274,429.3,299,217,394.5
CLCN5,-62.1,-46,-43.3,14.8,3,-28,-67.4,-58.8,27.5,-3.6
GH2,425.2,416.2,459.7,345.3,338.3,366.5,238.8,483.7,480.3,366.3
H1FT,63.9,5.6,21,5.2,-10,52,37.8,-7.9,23.1,28.4
SREBF2,345.3,424.1,371.7,232.5,406.2,478.8,377.3,164.6,281,309
HFE,12.5,19.3,30.5,47,75.9,1.3,25,5.7,6.4,52.6
ALDH2,2350.4,3178.3,2742.2,2140.7,4086.5,2958.5,3162.4,3010,3602.7,3302.6
FMR2,20.2,3.9,16.7,-0.4,0.4,7.3,7.8,1,10.8,30.8
SLC1A6,126,132.6,56.4,47,179.3,126.4,44,114.4,85.3,154.8
INPP5D,727,782.7,467,479.5,488.4,516.1,306,548.6,367.2,350.9
FBRNP,711,711.7,763.5,601.8,657,509.7,542.7,758.6,730.3,747.8
HMGCS2,68.5,55.8,-64.2,40.7,197.1,-16.4,58,25.2,14.2,-1.7
HSOBRGRP,1501.3,1722.3,1635.7,1564,1483.1,2969,1299.9,2012.2,1905.9,1341
TYRP1,78.1,53.9,91,145.8,35.5,39.8,177.8,90,79.9,81
TDO2,-13,-3,18.9,79,12.9,31,-6.5,26,-0.3,-8.7
CD6,334.3,470.3,150.5,210.7,166,408.8,148.4,160.8,149.2,118.9
MUC5AC,-8.1,40,-15.1,-24.2,21,-18.2,0.6,18.5,19.6,-6.8
ADRB3,621.1,472,452.5,419,470.3,460.6,325.7,463.7,548.3,414.8
DRPLA,42,48.5,104.2,73.6,37.8,79,36.7,95,26,49
GRIK3,100,34.3,71.1,89,98.9,61,56.3,102.2,108.9,71.2
F2RL1,126,123,154.8,160,133.7,144,121.2,98,302,217.7
OMP,382.2,381.6,411.8,336.1,395.7,351.5,247.2,416.3,387.9,392.3
LAMA2,310.8,278,374.1,320.6,143.1,189,548.5,221.2,358,212.4
COX4,3150.5,2983.8,2869.1,3156.9,2639.4,2763,2884.7,3033.1,2827,2634.5
ST13,55.6,115.5,145.1,165,144,134.3,145.8,68.9,138.6,146.2
DCT,14.2,32,-3,32,-24,-28,7.8,39,7.3,-7.5
ARHGDIB,8116.7,11281.4,7719.4,9162.8,8092.1,10572.9,7014.9,8183.2,8052,7765.9
DGKQ,185,169.4,167.6,146.6,155.2,182,135.4,117.1,156.2,65
PAX3,-18,-74.9,26,43.3,14.4,-23,14.8,37.2,18.1,34
MYH7,9.9,63,105.5,21.8,-7.2,126.4,-7.7,103,55.9,86
RPS5,8956.4,7191.5,9688.3,10204.9,7767.4,9039.6,8493.7,7143.4,10706,9128.3
MACS,1018.7,1770.6,1291.4,1603.8,742.6,1152.9,1273.9,1043.8,948.8,1078.1
SAS,44,21.7,37.8,25.2,42,37.8,39,-19.2,-26,23.1
CYLC2,-67,-50.3,-10,-26.4,-12,-20.1,6.6,-3.7,33,-11.7
PRKR,379.7,623.7,592.4,405.4,783.6,632,447.9,402.6,442.8,417.8
EXTL2,151,90,140.8,54.1,113.8,105.5,166.5,146.2,151.9,112.6
ECE1,129,163.7,117.1,181,125,146.8,132.2,217.6,128,123.5
MAL,354.9,275.7,890,376.5,364,315.1,387.1,446.4,629.9,582.7
CDC2L1,116.3,214.5,144,160,163.7,173,155.4,195.9,172.9,189.2
GTF3C1,695.4,544.9,745,625.6,702.5,593.2,499.2,519.4,379.6,542.2
ACTG1,7154.9,7593.2,8293.6,8397.7,6908.3,8429.5,8104.1,8476,6185.8,8103.9
HLA-DQB1,3750.8,6635.4,4687.9,4124.8,2799.7,5452.3,4426.1,3728.5,2588.9,2399.5
COVA1,155.4,99.8,133.2,66,74.3,70.2,111.3,166.5,103,134.7
PSMA1,678.2,739.2,583,712.2,575.1,891.7,775,651.5,837.4,660.4
STK4,-21,24.6,-10.8,8.2,-3.7,-3,-17.3,-20.1,-24.3,-15.9
ST5,183,265,256,447,352.9,206.9,341.6,277.3,291,145.1
MIA,-79.4,-83.8,-10.8,-66,-28,-15.5,-104.9,17.7,-67.5,-76
DYRK2,115.5,202,120.8,144.9,118,185,158.9,108.9,118,123.5
PSCD1,412.5,515.2,305.6,394.9,518.2,462.5,431.8,317,305,339.8
PLOD,851.5,687.2,766.4,945.9,755.6,613.2,699.5,806.5,737.2,565
OR3A2,21.7,-26.4,60.4,3.8,36.7,-81.6,3,16,36,50
RMSA1,47.3,65.9,28.2,-6.1,24.6,24.3,40,27.7,10.8,5.6
KRT13,341.6,202,101.8,124.9,107.1,118,104.7,175.1,63.2,74.3
SPAG11,75.5,107.1,98,96,98.9,61,57,62.3,125,76.7
OASL,135,192.4,118,49,235,173,79,112.5,114.4,40.7
EPB49,574.6,650.7,754.8,627.8,640.7,596.4,499.2,609.6,908.8,746.9
QDPR,318.8,378,445.4,421.7,548.4,428.6,467,348,509.8,617.3
CPM,205,108.8,137.5,238.2,188.9,144.9,271.1,147.2,123,305
TROAP,11.6,0.8,-4.8,-18.2,-27,-24,-12.4,-5.1,-68.2,-30.5
ITGA2,6.4,65.9,26.8,65,65,41.2,86.2,47,124,99.8
MAB21L1,3.9,-36,1,-27.4,14.4,-14.6,-27.8,-44.4,9,-1.7
USF2,1088.2,1159.4,880.7,835.8,744.4,672.2,396.8,1325.9,392.9,455.3
H4FI,-35.2,16.8,-24.9,14.8,-27,-29,4.2,-49.2,-15.9,18.9
TDGF1,48.1,36.7,17.4,33.2,67.6,-16.4,30.8,73.8,2.5,65.8
PGK1,2519.1,2802,1918.2,3263.4,2728.9,3339.4,2921.9,2439.5,2889,2870.2
CD14,868.8,2084.5,1196.3,4172.8,2561.7,1457.9,1660.9,2012.2,853.1,1191.3
ITGB4,16,36.7,182.5,159,14.4,-4,57,69.7,-68.2,-67.7
NR4A2,144,91,421.4,584.8,515.8,213.6,969,756.9,401.9,427.5
ABCB3,54.1,433.9,57,84.4,115.5,297.4,66.8,73.8,117.1,103.5
CACNB1,73.8,89,36.7,80.8,113.8,188,104.7,109.8,98,107.1
LOXL2,133,124,120.8,242,97,82.6,123.6,139.7,87.1,55.1
LBC,1997.8,1620.7,1541.4,1433.4,2831.6,1702.8,2056.7,1739.6,1978,2352.7
STK9,163.7,229.7,198,193.6,269.6,122.8,215.6,147.2,230,282.5
RRH,-73.7,-1.5,-7.4,-22.1,37.8,-35,-33.3,-10,29.8,-23.4
DRIL1,143,199.6,186.2,373.5,228,149.6,175.9,169.3,175.9,226.5
TUFM,1536.6,1406.2,1426.4,1390.6,1429.7,1515.4,1135.2,1196.8,1557.1,1604.9
KIAA0237,104,65,154.8,87.1,97,99.7,76.4,116.2,152.8,115.7
KCNJ15,58.1,72,62.7,141.7,226,54.9,223,118.9,138.6,197.1
USP13,60.4,100.7,99.2,75.1,138.4,142.9,224.7,98.8,121,131.2
EIF3S8,1806.3,1554.4,1540.6,1408.6,1877.1,1493.1,1680.1,778.8,2565.4,2474.9
GOT1,199,141.4,182.5,284.7,240,147.7,208.2,101.3,98.8,150.5
PCAF,-3,-28.5,-47.8,-46.3,-24,-21,-18.6,-12.8,-36.8,-15.9
PTPRR,-1.5,-24.2,10,53.4,36.7,2.1,79.9,-3.7,-1.9,20.3
EDNRA,389.8,193.2,510.6,276.5,418.3,256.5,614.8,386.4,625.5,658.4
MYL3,151,166,-80.1,118,30,185,52,224,61.4,-30.5
CBX5,69.4,78.1,9,63.9,53.7,26,25,108,64.1,39.9
NKTR,122,105.3,90,132.3,26,117.2,59,95,98,55.8
PPP2R1A,1103.4,1150,1170.4,1112.6,1136.5,1035,867.9,931.9,1062,955.2
SSA2,156.2,199.6,448.8,155.4,247.6,227.3,566,313,396.1,247.8
BPAG1,11.6,54.5,4.3,80.8,-3,-9,13.7,-4.4,31.2,0.3
MOBP,78.1,103.5,113.5,108,108,73.6,71.1,218.5,115.3,72.8
SLC26A2,127,77.2,201.6,238.2,256.8,139.7,233,159.9,247.4,258.3
MADH5,72,43,83,83.5,67.6,61,44,86.9,102.2,65
IMPA1,25.3,43,42,44.1,23.1,62.3,79.9,51,108.9,79
EMAPL,108.8,80.1,170.8,132.3,122,85.3,190,126.3,101.3,202.4
BCL2L2,58.1,120,147.2,104.7,142.1,121.6,200.7,134.3,158,142.8
COL19A1,-32.7,-16.4,-58.7,-69.2,-36,-29,-37.8,-13.7,-46,-130.8
ABCE1,21,71.1,106.8,94,59.7,65.9,100.5,44.1,79,101.6
USP4,441,503.5,461.5,394.9,465.1,413.5,457.9,452.8,510.7,401
PKP2,16,0,66.8,14.8,-20,16,14.8,7.7,2.5,-0.3
HCFC1,505.2,582.1,584.7,516.5,630.1,574,453.4,566,448.8,599.6
RGS6,92.2,93,113.5,135.8,154.3,142.9,98.8,111.6,103.8,82
KNSL1,12.5,37.8,14,23.5,-46.4,32,18.5,5.7,-36,-6.2
ELN,1261.1,779.2,2125.2,1272.8,1039.6,776,1625.9,832.8,1128.6,1323.5
CRYBB2,11.6,0,40.5,75.1,3,34.3,54.9,16.8,78.2,21
EMP1,105,111.3,119.8,139.3,203.3,130,171.2,130,151.9,98
NR4A3,61.6,23.1,127.2,2.1,57,69.4,46.2,57.9,98,88
SHOX,-3.6,-33.9,-8.2,-6.1,-93.4,-23,-29.2,-16.4,-43.5,-47.2
GABRA6,-27.7,5.6,-7.4,-10.9,-26,-11.8,12.5,-5.8,-26.8,-15.1
RPS13,9091,8878.1,10300.9,9234.8,8795.4,8876.8,10287.6,9453,8579.8,10497.6
PRSS2,40,65.9,36.7,58.1,40,21.8,42,52.6,87.1,78.2
ACYP2,39,39,5,-1.3,49,21,49.7,15,18.1,0.3
CCNA2,-14,45,25.2,62.7,6,47,-14.9,-26.8,26,46
KIAA0185,91.3,179,182.5,161,67.6,105.5,173.1,127.2,52.6,102.5
PTHR1,190,139.6,221.3,221.1,109.7,164,142.9,171.2,174,248.7
GRIN1,-72.7,-22.1,-103.5,-15.5,-82.8,-39.3,-39.5,-24.5,-5.2,-27.3
SLC12A3,31.1,18.5,21.8,-1.3,30,35.5,19.3,12,22.4,-13.4
CD3E,1466.9,1375,890,820,564.6,1063.7,519.5,946.5,832.2,842.4
RXRG,59.3,73.8,85,77.4,108,103,95.3,94,126,131.2
POU3F2,-37.9,-0.8,34.3,31.1,-13,-3,-18.6,-30.2,-41.8,19.6
MN7,213,132.6,227,159,137.5,147.7,126,219.4,154.5,116.5
RPLP2,10013.8,9703.3,9018.6,8647.2,8391.9,10103,7962.1,8103.2,9053.1,10669.6
LIPA,1358.1,4696.7,629.9,1439,3608.9,983.6,1153.6,638.8,738.9,1157.7
AXIN1,231.9,136.1,144,152.8,309.3,29,277.3,133.2,-39.3,169
PTPRS,670.9,684.6,477,442.3,641.5,586,393.5,586.4,703.7,473
ADFP,286.2,268.1,206.9,383.6,518.2,277,508.6,193.4,325.2,273.3
ATF4,2377.6,1691.9,2630.2,1708.6,2019.6,2245.8,3524.8,2563.1,2350.7,2569.3
PDCD1,452.3,273.4,351.2,354,373.1,373.6,211.2,369.2,182.5,309
BLZF1,43,0.8,9,39,26,48,29.6,24.3,86.2,71.2
LGALS3BP,2680.6,3140.3,2440.7,2143.7,2861.5,3763,2296.9,2616.5,2340.9,3583.7
MRPL3,440.2,440.5,331.2,549.3,346.1,509.7,527.5,413.4,342.3,415.5
TAF1C,96.3,77.2,86,73.6,107.1,104.7,158,105.5,65,138.2
MLL,89.7,84.6,30.5,81.7,46,15,56.3,45,16.7,71.2
CDKL1,-28.5,34.3,36.7,57,-7.2,-34,44,18.5,-22.7,40.7
SLC7A2,-13,41,29.8,-29.6,52.8,12,-13.7,41.6,-26,-32.8
HRB,181,108,129.1,183,178.3,176,146.6,206,174,181.6
C9orf10,782,523.9,840.5,911.5,809.7,980.9,889.8,899.5,625.5,783
RNASE6,287.1,515.9,174,360,206.9,354.2,251.5,221.2,237,133.5
SLU7,3941.9,1748.5,1864.4,703.2,1053.1,1243.2,1799.3,3671.5,1685.2,1542
STXBP3,435,436.5,489.7,447.9,451.3,526,542.7,415.7,594.5,616.4
GNB3,334.3,313.9,340.9,220.2,245.8,267,193.6,308,298,210.2
ALB,60.4,65.9,55.8,68,71.1,86.2,42,75.5,98,80
GARS,821.1,717,671.2,765.7,709,627,522.4,887.5,637.8,582.7
RIG,58.1,65,137.5,79,97,49,66.8,63.2,89.8,162
FASN,925.2,581.3,1211.3,809.5,1086.3,1030.2,882.3,851.6,1024.5,1224.9
KIF2,68.5,8.1,27.5,44.1,20.2,33.2,43,51,39.9,77.4
MLLT4,-59.2,-81.5,-69.5,-18.2,-22,-33,-71.8,-66,-32.7,-21.8
SLC25A1,132,154.8,54.5,92,107.1,108.8,148.4,86.9,-24.3,37
KIAA0631,259.7,210.2,191.8,219.2,198,200.4,203.3,204.3,201.7,202.4
HBE1,-80.4,-33.9,-233.5,-141.9,-91.3,-57.1,-62.5,-61.2,-245.5,-159
HNRPA2B1,2117.7,1396,1555.9,1572.4,1694,2228.9,1900.7,1751.4,2101.9,2028.4
EFNA5,87,55.1,46,45,40,45,53.4,0.3,3,25.3
RPL37A,7406.7,7217.2,7629.2,7730.3,7706.6,6781.6,7581.1,8022.4,7239.6,7829.3
KRAS2,91.3,64,85,87.1,68.5,88,49.7,67.3,53.7,124.5
BRF2,769,726.8,883.5,505.4,634.2,628.7,513.7,560.7,526.1,611.7
